[2025-08-12 23:34:28] URL: https://www.google.com/ | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: Trusted domain (allowlisted).
[2025-08-12 23:41:22] URL: https://www.google.com/ | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: Trusted domain (allowlisted).
[2025-08-12 23:42:13] URL: https://www.google.com/ | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: Trusted domain (allowlisted).
[2025-08-12 23:42:46] URL: https://www.google.com/ | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: Trusted domain (allowlisted).
[2025-08-12 23:50:41] URL: https://www.google.com/ | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: Trusted domain (allowlisted).
[2025-08-12 23:56:43] URL: https://www.google.com/ | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: Trusted domain (allowlisted).
[2025-08-13 00:02:29] URL: https://www.google.com/ | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: Trusted domain (allowlisted).
[2025-08-13 00:02:56] URL: https://www.google.com/ | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: Trusted domain (allowlisted).
[2025-08-13 00:03:18] URL: http://httpbin.org/get | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: Trusted domain (allowlisted).
[2025-08-13 00:05:34] URL: http://google.com/ | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: Trusted domain (allowlisted).
[2025-08-13 00:05:39] URL: http://www.google.com/ | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: Trusted domain (allowlisted).
[2025-08-13 00:06:19] URL: http://12345localhost.commm/ | Safe: NO | Prediction: phishing | Score: 1.000 | Explanation: None
[2025-08-13 00:13:00] URL: https://www.google.com | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: Trusted domain (allowlisted).
[2025-08-13 00:13:04] URL: http://free-bitcoin.ru/get-rich-now | Safe: NO | Prediction: defacement | Score: 0.980 | Explanation: None
[2025-08-13 00:13:09] URL: https://secure-login.ph1sh.xyz/index.php?id=123 | Safe: NO | Prediction: phishing | Score: 0.910 | Explanation: None
[2025-08-13 00:13:13] URL: http://malware-download.biz/<script>alert(1)</script> | Safe: NO | Prediction: phishing | Score: 0.990 | Explanation: None
[2025-08-13 00:17:01] URL: http://google.com/ | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: Trusted domain (allowlisted).
[2025-08-13 00:18:04] URL: http://localhost.cmmmmo/ | Safe: NO | Prediction: phishing | Score: 1.000 | Explanation: None
[2025-08-13 00:20:54] URL: https://www.google.com/ | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: Trusted domain (allowlisted).
[2025-08-13 00:20:59] URL: https://www.google.com/ | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: Trusted domain (allowlisted).
[2025-08-13 00:22:49] URL: https://www.1223343localhost.comm/ | Safe: NO | Prediction: phishing | Score: 0.990 | Explanation: None
[2025-08-13 00:38:49] URL: https://www.1223343localhost.comm/ | Safe: NO | Prediction: phishing | Score: 0.990 | Explanation: None
[2025-08-13 00:39:11] URL: https://api.github.com/ | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: None
[2025-08-13 00:39:14] URL: https://api.github.com/users/octocat | Safe: NO | Prediction: malware | Score: 0.550 | Explanation: None
[2025-08-13 00:58:45] URL: https://www.google.com/ | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: Trusted domain (allowlisted).
[2025-08-13 00:58:49] URL: https://www.google.com/ | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: Trusted domain (allowlisted).
[2025-08-13 00:59:10] URL: https://www.google.com/ | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: Trusted domain (allowlisted).
[2025-08-13 01:01:38] URL: http://httpbin.org/get | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: Trusted domain (allowlisted).
[2025-08-13 01:03:26] URL: http://local.commm/ | Safe: NO | Prediction: phishing | Score: 0.990 | Explanation: None
[2025-08-13 01:04:11] URL: http://local.commm/ | Safe: NO | Prediction: phishing | Score: 0.990 | Explanation: None
[2025-08-13 01:04:26] URL: https://api.github.com/ | Safe: YES | Prediction: benign | Score: 0.000 | Explanation: None
[2025-08-13 01:04:35] URL: https://api.github.com/users/octocat | Safe: NO | Prediction: malware | Score: 0.550 | Explanation: None
[2025-08-13 01:05:16] URL: https://localhost.comm/ | Safe: NO | Prediction: phishing | Score: 0.990 | Explanation: None
